output_filename,chinese_name,source_filename
BACK_1.png,牌背 红蓝,牌背_红蓝.png
BACK_2.png,牌背 绿色,牌背_绿色.png
AS.png,黑桃 A,黑桃_A.png
2S.png,黑桃 2,黑桃_2.png
3S.png,黑桃 3,黑桃_3.png
4S.png,黑桃 4,黑桃_4.png
5S.png,黑桃 5,黑桃_5.png
6S.png,黑桃 6,黑桃_6.png
7S.png,黑桃 7,黑桃_7.png
8S.png,黑桃 8,黑桃_8.png
9S.png,黑桃 9,黑桃9游戏牌.png
10S.png,黑桃 10,十点黑桃卡.png
JS.png,黑桃 J,黑桃j扑克牌插图.png
QS.png,黑桃 Q,黑桃皇后扑克牌插图.png
KS.png,黑桃 K,黑桃国王扑克牌插画.png
AH.png,红心 A,红心王牌插画.png
2H.png,红心 2,精美的红心2扑克牌设计.png
3H.png,红心 3,红心3牌展示.png
4H.png,红心 4,四点红心纸牌.png
5H.png,红心 5,五点红心扑克牌.png
6H.png,红心 6,红色心形6号扑克牌.png
7H.png,红心 7,七红心扑克牌.png
8H.png,红心 8,红桃8扑克牌设计图.png
9H.png,红心 9,九点红心扑克牌.png
10H.png,红心 10,红心10扑克牌.png
JH.png,红心 J,黑桃j心型杰克扑克牌.png
QH.png,红心 Q,红心皇后的精美牌面设计.png
KH.png,红心 K,红心国王扑克牌插图.png
AD.png,方块 A,红色钻石扑克牌_a.png
2D.png,方块 2,透明背景的黑白扑克牌.png
3D.png,方块 3,红色方块三牌.png
4D.png,方块 4,四_diamonds_扑克牌图案.png
5D.png,方块 5,五点钻石扑克牌.png
6D.png,方块 6,六点方块牌.png
7D.png,方块 7,七点方块扑克牌.png
8D.png,方块 8,红桃8扑克牌.png
9D.png,方块 9,优雅的方片九扑克牌.png
10D.png,方块 10,红钻十牌图案.png
JD.png,方块 J,钻石杰克扑克牌插图.png
QD.png,方块 Q,红宝石女王扑克图案.png
KD.png,方块 K,钻石之王扑克牌设计.png
AC.png,梅花 A,黑桃a扑克牌插图.png
2C.png,梅花 2,典雅的2号黑桃扑克牌.png
3C.png,梅花 3,三点梅花卡设计.png
4C.png,梅花 4,四张梅花扑克牌.png
5C.png,梅花 5,黑色五点梅花牌.png
6C.png,梅花 6,6张梅花扑克牌.png
7C.png,梅花 7,黑桃七扑克牌设计.png
8C.png,梅花 8,经典黑桃8扑克牌图案.png
9C.png,梅花 9,黑桃九牌面设计.png
10C.png,梅花 10,十点梅花扑克牌.png
JC.png,梅花 J,黑白杰克俱乐部扑克牌.png
QC.png,梅花 Q,黑桃皇后单张卡片.png
KC.png,梅花 K,梅花k扑克牌插图.png
